X1	X2	
4.06	0.44	
1.59	0.86	
1.55	0.12	
0.59	2.20	
1.02	8.21	
9.69	5.95	
6.71	7.61	
9.78	4.70	
2.47	6.12	
9.09	3.06	
3.27	3.20	
6.78	3.81	
6.20	7.83	
4.55	1.86	
8.22	0.15	
5.40	2.08	
4.68	1.85	
2.34	2.74	
6.19	3.16	
6.92	8.07	
3.68	6.67	
6.47	0.04	
1.02	2.06	
1.95	1.89	
2.08	8.68	
2.79	3.03	
4.44	7.36	
3.68	7.85	
5.20	6.57	
8.67	9.18	
5.12	2.64	
1.63	0.05	
6.19	8.61	
8.70	6.66	
4.27	1.32	
7.41	9.03	
2.85	1.51	
9.16	5.29	
6.11	7.99	
6.82	0.16	
9.56	2.19	
6.69	8.10	
4.29	6.59	
4.58	6.86	
6.52	6.27	
9.05	7.72	
7.64	0.72	
1.08	4.47	
1.05	9.51	
8.15	4.67	
1.36	3.49	
2.57	2.73	
8.24	1.04	
8.45	6.78	
2.00	6.90	
8.96	7.71	
0.50	9.70	
5.82	1.89	
7.21	3.49	
5.79	6.26	
8.48	7.10	
4.91	7.97	
3.93	5.12	
9.58	8.69	
7.84	3.97	
5.32	7.86	
0.64	6.39	
7.98	7.76	
9.31	8.35	
9.36	7.79	
2.56	2.96	
9.02	4.83	
1.61	7.01	
6.82	1.76	
0.42	7.09	
5.90	6.03	
9.53	3.92	
4.62	6.15	
6.51	5.52	
6.50	4.51	
1.90	1.96	
1.61	1.43	
3.88	7.27	
9.25	6.51	
6.65	6.75	
1.45	0.42	
7.19	1.30	
9.31	2.28	
2.69	3.83	
8.87	5.08	
6.16	6.66	
1.89	4.78	
0.85	3.04	
7.15	6.06	
5.20	0.18	
1.58	1.90	
8.61	6.33	
7.31	2.12	
5.04	9.08	
9.41	0.44	
5.80	7.81	
1.62	8.79	
4.97	8.78	
1.81	2.29	
1.10	7.33	
7.01	8.02	
6.57	8.21	
7.87	6.30	
1.43	1.38	
6.09	3.49	
2.49	7.90	
4.21	1.21	
9.05	7.63	
6.20	8.31	
6.23	8.11	
8.93	7.96	
3.59	1.80	
9.28	4.58	
1.28	7.30	
8.79	1.97	
8.72	8.31	
8.06	6.73	
0.87	3.37	
6.22	8.68	
5.64	8.30	
6.15	3.08	
1.46	2.63	
5.27	7.82	
8.24	1.51	
2.69	2.43	
6.25	4.16	
8.04	4.71	
6.97	0.67	
4.17	5.23	
7.00	9.60	
5.80	9.29	
1.38	9.73	
8.95	1.21	
5.22	0.80	
1.30	5.85	
3.36	9.71	
2.14	7.74	
6.17	0.45	
1.41	9.37	
5.85	8.55	
1.45	6.04	
1.65	3.24	
1.76	6.43	
4.36	3.53	
6.55	4.58	
0.10	7.53	
7.30	1.49	
0.89	7.87	
7.58	1.48	
4.93	0.12	
5.61	1.64	
2.51	4.92	
0.47	0.49	
4.56	9.17	
1.88	5.44	
9.41	6.61	
9.50	7.33	
0.21	2.69	
7.26	4.20	
9.49	4.64	
9.97	5.95	
9.84	2.83	
4.64	6.06	
9.43	5.90	
6.24	6.37	
9.26	8.33	
8.48	6.37	
4.21	5.76	
3.13	8.87	
3.86	0.33	
7.79	9.79	
0.02	5.71	
0.84	1.12	
7.00	8.89	
3.82	2.35	
7.74	3.88	
6.50	7.82	
3.40	0.46	
6.67	4.16	
6.57	10.00	
7.44	4.79	
8.70	8.71	
7.28	5.95	
0.28	8.39	
4.20	1.84	
8.49	3.74	
3.99	5.00	
0.57	5.34	
3.57	1.33	
2.87	7.38	
5.29	8.73	
4.94	9.71	
4.49	1.95	
5.03	4.38	
2.79	6.60	
8.71	7.97	
2.28	9.49	
4.76	2.24	
1.03	3.39	
3.43	7.47	
8.87	9.14	
0.46	4.55	
3.30	9.68	
6.45	4.36	
9.51	6.09	
5.53	5.56	
4.96	7.55	
8.76	4.70	
8.80	4.03	
7.70	5.81	
8.48	2.24	
1.02	0.30	
1.33	3.30	
2.19	1.53	
6.67	2.92	
9.76	2.95	
4.87	3.16	
2.24	2.78	
3.39	8.21	
8.75	3.33	
6.33	5.13	
3.01	7.86	
3.05	4.71	
2.53	3.45	
3.55	6.79	
7.27	4.05	
3.37	9.01	
1.94	3.81	
8.00	7.90	
3.81	7.22	
7.68	6.55	
3.88	9.21	
6.51	3.38	
2.20	5.33	
6.01	2.90	
0.00	9.35	
2.16	9.90	
9.74	3.36	
6.60	5.59	
1.56	3.11	
7.37	5.64	
9.11	9.77	
1.83	7.26	
0.14	7.75	
4.41	5.09	
7.79	6.92	
5.27	3.13	
6.51	6.90	
1.16	3.20	
2.52	0.57	
8.86	8.66	
2.36	3.45	
2.68	5.98	
5.02	6.02	
1.91	5.42	
1.99	6.33	
1.14	6.83	
7.26	0.79	
5.96	5.80	
3.95	2.38	
9.74	0.53	
7.36	6.57	
2.08	9.95	
4.57	7.07	
8.27	9.35	
9.53	5.35	
9.88	0.29	
8.33	0.39	
0.79	8.18	
4.11	7.29	
9.52	2.04	
2.14	6.76	
8.21	8.05	
6.09	0.37	
1.20	0.30	
3.36	0.08	
1.12	0.01	
3.15	4.43	
8.36	6.78	
3.74	7.94	
0.81	3.77	
6.67	4.56	
4.02	2.06	
4.00	1.09	
8.71	7.98	
1.72	1.31	
1.56	1.30	
6.34	7.02	
7.19	1.58	
